,patient,dimension,spacing,maximum,minimum,std,x,y,z,x_sp,y_sp,z_sp
73,74,"(216, 256, 7)","(1.875, 1.875, 10.0)",255.0,28.0,27.274809,216,256,7,1.875,1.875,10.0
74,75,"(276, 384, 8)","(0.8333330154418945, 0.8333330154418945, 10.0)",255.0,11.0,48.026215,276,384,8,0.8333330154418945,0.8333330154418945,10.0
75,76,"(276, 384, 8)","(0.8333330154418945, 0.8333330154418945, 10.0)",255.0,13.0,45.11862,276,384,8,0.8333330154418945,0.8333330154418945,10.0
76,77,"(208, 256, 9)","(1.6406199932098389, 1.6406199932098389, 10.0)",255.0,6.0,45.241123,208,256,9,1.6406199932098389,1.6406199932098389,10.0
77,78,"(208, 256, 9)","(1.6406199932098389, 1.6406199932098389, 10.0)",255.0,6.0,45.215145,208,256,9,1.6406199932098389,1.6406199932098389,10.0
78,79,"(208, 256, 10)","(1.4843800067901611, 1.4843800067901611, 10.0)",255.0,4.0,52.505684,208,256,10,1.4843800067901611,1.4843800067901611,10.0
79,80,"(208, 256, 10)","(1.4843800067901611, 1.4843800067901611, 10.0)",255.0,4.0,52.579704,208,256,10,1.4843800067901611,1.4843800067901611,10.0
80,81,"(154, 224, 6)","(1.7857099771499634, 1.7857099771499634, 10.0)",255.0,3.0,45.968044,154,224,6,1.7857099771499634,1.7857099771499634,10.0
81,82,"(154, 224, 6)","(1.7857099771499634, 1.7857099771499634, 10.0)",255.0,4.0,45.892113,154,224,6,1.7857099771499634,1.7857099771499634,10.0
82,83,"(232, 256, 9)","(1.7578125, 1.7578125, 10.0)",3183.0,0.0,119.697945,232,256,9,1.7578125,1.7578125,10.0
83,84,"(232, 256, 9)","(1.7578125, 1.7578125, 10.0)",3158.0,0.0,117.970276,232,256,9,1.7578125,1.7578125,10.0
84,85,"(174, 224, 12)","(1.9196399450302124, 1.9196399450302124, 6.5)",255.0,5.0,50.399544,174,224,12,1.9196399450302124,1.9196399450302124,6.5
85,86,"(174, 224, 12)","(1.9196399450302124, 1.9196399450302124, 6.5)",255.0,5.0,50.39686,174,224,12,1.9196399450302124,1.9196399450302124,6.5
86,87,"(256, 216, 9)","(1.3671875, 1.3671875, 10.0)",1040.0,0.0,76.00965,256,216,9,1.3671875,1.3671875,10.0
87,88,"(256, 216, 9)","(1.3671875, 1.3671875, 10.0)",1384.0,0.0,74.6699,256,216,9,1.3671875,1.3671875,10.0
88,89,"(208, 256, 8)","(1.5625, 1.5625, 10.0)",255.0,11.0,47.801987,208,256,8,1.5625,1.5625,10.0
89,90,"(208, 256, 8)","(1.5625, 1.5625, 10.0)",255.0,11.0,46.385326,208,256,8,1.5625,1.5625,10.0
90,91,"(256, 216, 9)","(1.5625, 1.5625, 10.0)",255.0,24.0,37.313046,256,216,9,1.5625,1.5625,10.0
91,92,"(256, 216, 9)","(1.5625, 1.5625, 10.0)",255.0,18.0,37.156914,256,216,9,1.5625,1.5625,10.0
92,93,"(256, 208, 9)","(1.6796900033950806, 1.6796900033950806, 10.0)",255.0,15.0,41.870308,256,208,9,1.6796900033950806,1.6796900033950806,10.0
93,94,"(256, 208, 9)","(1.6796900033950806, 1.6796900033950806, 10.0)",255.0,15.0,41.88172,256,208,9,1.6796900033950806,1.6796900033950806,10.0
94,95,"(208, 256, 8)","(1.5625, 1.5625, 10.0)",255.0,3.0,49.798985,208,256,8,1.5625,1.5625,10.0
95,96,"(208, 256, 8)","(1.5625, 1.5625, 10.0)",255.0,3.0,49.326122,208,256,8,1.5625,1.5625,10.0
96,97,"(256, 216, 7)","(1.3671875, 1.3671875, 10.0)",1502.0,0.0,87.91929,256,216,7,1.3671875,1.3671875,10.0
97,98,"(256, 216, 7)","(1.3671875, 1.3671875, 10.0)",1505.0,0.0,88.7304,256,216,7,1.3671875,1.3671875,10.0
98,99,"(248, 256, 10)","(1.3671875, 1.3671875, 10.0)",522.0,0.0,68.347,248,256,10,1.3671875,1.3671875,10.0
99,100,"(248, 256, 10)","(1.3671875, 1.3671875, 10.0)",545.0,0.0,67.090675,248,256,10,1.3671875,1.3671875,10.0
100,101,"(224, 256, 10)","(1.6406199932098389, 1.6406199932098389, 10.0)",255.0,0.0,40.45941,224,256,10,1.6406199932098389,1.6406199932098389,10.0
101,102,"(224, 256, 10)","(1.6406199932098389, 1.6406199932098389, 10.0)",255.0,0.0,40.290703,224,256,10,1.6406199932098389,1.6406199932098389,10.0
102,103,"(216, 256, 8)","(1.4843800067901611, 1.4843800067901611, 10.0)",212.0,5.0,38.14421,216,256,8,1.4843800067901611,1.4843800067901611,10.0
103,104,"(216, 256, 8)","(1.4843800067901611, 1.4843800067901611, 10.0)",207.0,5.0,37.907005,216,256,8,1.4843800067901611,1.4843800067901611,10.0
104,105,"(216, 256, 7)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,14.0,34.09048,216,256,7,1.3671900033950806,1.3671900033950806,10.0
105,106,"(216, 256, 7)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,14.0,33.960144,216,256,7,1.3671900033950806,1.3671900033950806,10.0
106,107,"(216, 256, 8)","(1.4843800067901611, 1.4843800067901611, 10.0)",255.0,27.0,29.828447,216,256,8,1.4843800067901611,1.4843800067901611,10.0
107,108,"(216, 256, 8)","(1.4843800067901611, 1.4843800067901611, 10.0)",255.0,26.0,29.816273,216,256,8,1.4843800067901611,1.4843800067901611,10.0
108,109,"(256, 216, 9)","(1.4843800067901611, 1.4843800067901611, 10.0)",255.0,16.0,36.37694,256,216,9,1.4843800067901611,1.4843800067901611,10.0
109,110,"(256, 216, 9)","(1.4843800067901611, 1.4843800067901611, 10.0)",255.0,17.0,36.571846,256,216,9,1.4843800067901611,1.4843800067901611,10.0
110,111,"(216, 256, 9)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,31.0,26.050867,216,256,9,1.3671900033950806,1.3671900033950806,10.0
111,112,"(216, 256, 9)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,31.0,25.30137,216,256,9,1.3671900033950806,1.3671900033950806,10.0
112,113,"(428, 512, 8)","(0.703125, 0.703125, 10.0)",255.0,5.0,47.495728,428,512,8,0.703125,0.703125,10.0
113,114,"(428, 512, 8)","(0.703125, 0.703125, 10.0)",255.0,5.0,47.227566,428,512,8,0.703125,0.703125,10.0
114,115,"(216, 256, 9)","(1.40625, 1.40625, 10.0)",224.0,25.0,27.39358,216,256,9,1.40625,1.40625,10.0
115,116,"(216, 256, 9)","(1.40625, 1.40625, 10.0)",213.0,25.0,27.162437,216,256,9,1.40625,1.40625,10.0
116,117,"(256, 216, 9)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,28.0,28.86583,256,216,9,1.3671900033950806,1.3671900033950806,10.0
117,118,"(256, 216, 9)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,29.0,28.761314,256,216,9,1.3671900033950806,1.3671900033950806,10.0
118,119,"(216, 256, 9)","(1.5625, 1.5625, 10.0)",255.0,19.0,36.098328,216,256,9,1.5625,1.5625,10.0
119,120,"(216, 256, 9)","(1.5625, 1.5625, 10.0)",255.0,19.0,35.302097,216,256,9,1.5625,1.5625,10.0
120,121,"(216, 256, 9)","(1.3671875, 1.3671875, 10.0)",474.0,0.0,69.884315,216,256,9,1.3671875,1.3671875,10.0
121,122,"(216, 256, 9)","(1.3671875, 1.3671875, 10.0)",521.0,0.0,69.27517,216,256,9,1.3671875,1.3671875,10.0
122,123,"(256, 216, 10)","(1.3671875, 1.3671875, 10.0)",472.0,0.0,48.833176,256,216,10,1.3671875,1.3671875,10.0
123,124,"(256, 216, 10)","(1.3671875, 1.3671875, 10.0)",565.0,0.0,48.150253,256,216,10,1.3671875,1.3671875,10.0
124,125,"(256, 176, 8)","(1.3671875, 1.3671875, 10.0)",3049.0,0.0,273.73166,256,176,8,1.3671875,1.3671875,10.0
125,126,"(256, 176, 8)","(1.3671875, 1.3671875, 10.0)",3584.0,0.0,274.58844,256,176,8,1.3671875,1.3671875,10.0
126,127,"(216, 256, 10)","(1.4453125, 1.4453125, 10.0)",545.0,0.0,65.9197,216,256,10,1.4453125,1.4453125,10.0
127,128,"(216, 256, 10)","(1.4453125, 1.4453125, 10.0)",691.0,0.0,65.670204,216,256,10,1.4453125,1.4453125,10.0
128,129,"(210, 224, 8)","(1.875, 1.875, 10.0)",537.0,0.0,71.070755,210,224,8,1.875,1.875,10.0
129,130,"(210, 224, 8)","(1.875, 1.875, 10.0)",593.0,0.0,70.11977,210,224,8,1.875,1.875,10.0
130,131,"(240, 256, 9)","(1.3671875, 1.3671875, 10.0)",917.0,0.0,69.4128,240,256,9,1.3671875,1.3671875,10.0
131,132,"(240, 256, 9)","(1.3671875, 1.3671875, 10.0)",918.0,0.0,69.0696,240,256,9,1.3671875,1.3671875,10.0
132,133,"(256, 216, 10)","(1.3671875, 1.3671875, 10.0)",676.0,0.0,52.396713,256,216,10,1.3671875,1.3671875,10.0
133,134,"(256, 216, 10)","(1.3671875, 1.3671875, 10.0)",1080.0,0.0,60.85839,256,216,10,1.3671875,1.3671875,10.0
134,135,"(256, 208, 7)","(1.5625, 1.5625, 10.0)",255.0,11.0,48.97638,256,208,7,1.5625,1.5625,10.0
135,136,"(256, 208, 7)","(1.5625, 1.5625, 10.0)",255.0,13.0,47.773254,256,208,7,1.5625,1.5625,10.0
136,137,"(216, 256, 7)","(1.5625, 1.5625, 10.0)",255.0,9.0,37.01936,216,256,7,1.5625,1.5625,10.0
137,138,"(216, 256, 7)","(1.5625, 1.5625, 10.0)",255.0,9.0,36.820103,216,256,7,1.5625,1.5625,10.0
138,139,"(208, 256, 6)","(1.5625, 1.5625, 10.0)",255.0,4.0,49.622837,208,256,6,1.5625,1.5625,10.0
139,140,"(208, 256, 6)","(1.5625, 1.5625, 10.0)",255.0,4.0,49.4316,208,256,6,1.5625,1.5625,10.0
140,141,"(192, 256, 10)","(1.5625, 1.5625, 10.0)",759.0,0.0,57.946957,192,256,10,1.5625,1.5625,10.0
141,142,"(192, 256, 10)","(1.5625, 1.5625, 10.0)",1406.0,0.0,60.075577,192,256,10,1.5625,1.5625,10.0
142,143,"(216, 256, 8)","(1.5625, 1.5625, 10.0)",525.0,0.0,81.647835,216,256,8,1.5625,1.5625,10.0
143,144,"(216, 256, 8)","(1.5625, 1.5625, 10.0)",807.0,0.0,80.94907,216,256,8,1.5625,1.5625,10.0
144,145,"(208, 256, 7)","(1.640625, 1.640625, 10.0)",3316.0,0.0,242.11789,208,256,7,1.640625,1.640625,10.0
145,146,"(208, 256, 7)","(1.640625, 1.640625, 10.0)",3290.0,0.0,243.04182,208,256,7,1.640625,1.640625,10.0
146,147,"(256, 256, 8)","(1.5625, 1.5625, 10.0)",255.0,19.0,33.494225,256,256,8,1.5625,1.5625,10.0
147,148,"(256, 256, 8)","(1.5625, 1.5625, 10.0)",255.0,19.0,32.921413,256,256,8,1.5625,1.5625,10.0
148,149,"(168, 224, 14)","(1.7857099771499634, 1.7857099771499634, 5.0)",255.0,4.0,48.942642,168,224,14,1.7857099771499634,1.7857099771499634,5.0
149,150,"(168, 224, 14)","(1.7857099771499634, 1.7857099771499634, 5.0)",255.0,5.0,49.143658,168,224,14,1.7857099771499634,1.7857099771499634,5.0
150,151,"(256, 256, 8)","(1.5625, 1.5625, 10.0)",255.0,19.0,33.494225,256,256,8,1.5625,1.5625,10.0
151,152,"(256, 256, 8)","(1.5625, 1.5625, 10.0)",255.0,19.0,32.921413,256,256,8,1.5625,1.5625,10.0
152,153,"(214, 256, 8)","(1.40625, 1.40625, 10.0)",255.0,11.0,47.254814,214,256,8,1.40625,1.40625,10.0
153,154,"(214, 256, 8)","(1.40625, 1.40625, 10.0)",255.0,11.0,47.321476,214,256,8,1.40625,1.40625,10.0
154,155,"(216, 256, 8)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,19.0,35.177864,216,256,8,1.3671900033950806,1.3671900033950806,10.0
155,156,"(216, 256, 8)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,19.0,35.31917,216,256,8,1.3671900033950806,1.3671900033950806,10.0
156,157,"(216, 256, 9)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,16.0,35.878746,216,256,9,1.3671900033950806,1.3671900033950806,10.0
157,158,"(216, 256, 9)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,16.0,35.48469,216,256,9,1.3671900033950806,1.3671900033950806,10.0
158,159,"(216, 256, 6)","(1.7578099966049194, 1.7578099966049194, 10.0)",255.0,10.0,39.67839,216,256,6,1.7578099966049194,1.7578099966049194,10.0
159,160,"(216, 256, 6)","(1.7578099966049194, 1.7578099966049194, 10.0)",255.0,10.0,39.091652,216,256,6,1.7578099966049194,1.7578099966049194,10.0
160,161,"(154, 224, 17)","(1.6517900228500366, 1.6517900228500366, 5.0)",255.0,3.0,51.53819,154,224,17,1.6517900228500366,1.6517900228500366,5.0
161,162,"(154, 224, 17)","(1.6517900228500366, 1.6517900228500366, 5.0)",255.0,3.0,50.958046,154,224,17,1.6517900228500366,1.6517900228500366,5.0
162,163,"(224, 154, 16)","(1.7857099771499634, 1.7857099771499634, 5.0)",255.0,8.0,46.344078,224,154,16,1.7857099771499634,1.7857099771499634,5.0
163,164,"(224, 154, 16)","(1.7857099771499634, 1.7857099771499634, 5.0)",255.0,9.0,46.226997,224,154,16,1.7857099771499634,1.7857099771499634,5.0
164,165,"(208, 256, 6)","(1.5625, 1.5625, 10.0)",255.0,9.0,49.446915,208,256,6,1.5625,1.5625,10.0
165,166,"(208, 256, 6)","(1.5625, 1.5625, 10.0)",255.0,9.0,49.561115,208,256,6,1.5625,1.5625,10.0
166,167,"(208, 256, 12)","(1.3671900033950806, 1.3671900033950806, 5.0)",255.0,12.0,44.594868,208,256,12,1.3671900033950806,1.3671900033950806,5.0
167,168,"(208, 256, 12)","(1.3671900033950806, 1.3671900033950806, 5.0)",255.0,12.0,42.987095,208,256,12,1.3671900033950806,1.3671900033950806,5.0
168,169,"(184, 288, 15)","(1.2152800559997559, 1.2152800559997559, 5.0)",255.0,15.0,37.690624,184,288,15,1.2152800559997559,1.2152800559997559,5.0
169,170,"(184, 288, 15)","(1.2152800559997559, 1.2152800559997559, 5.0)",255.0,15.0,37.2153,184,288,15,1.2152800559997559,1.2152800559997559,5.0
170,171,"(192, 256, 7)","(1.5625, 1.5625, 10.0)",255.0,2.0,52.12308,192,256,7,1.5625,1.5625,10.0
171,172,"(192, 256, 7)","(1.5625, 1.5625, 10.0)",255.0,2.0,51.990402,192,256,7,1.5625,1.5625,10.0
172,173,"(256, 184, 8)","(1.4453099966049194, 1.4453099966049194, 10.0)",255.0,12.0,40.74445,256,184,8,1.4453099966049194,1.4453099966049194,10.0
173,174,"(256, 184, 8)","(1.4453099966049194, 1.4453099966049194, 10.0)",255.0,12.0,40.58542,256,184,8,1.4453099966049194,1.4453099966049194,10.0
174,175,"(224, 154, 16)","(1.6517900228500366, 1.6517900228500366, 5.0)",255.0,6.0,49.04337,224,154,16,1.6517900228500366,1.6517900228500366,5.0
175,176,"(224, 154, 16)","(1.6517900228500366, 1.6517900228500366, 5.0)",255.0,7.0,49.1042,224,154,16,1.6517900228500366,1.6517900228500366,5.0
176,177,"(264, 288, 6)","(1.4583300352096558, 1.4583300352096558, 10.0)",255.0,15.0,36.364025,264,288,6,1.4583300352096558,1.4583300352096558,10.0
177,178,"(264, 288, 6)","(1.4583300352096558, 1.4583300352096558, 10.0)",255.0,15.0,36.396698,264,288,6,1.4583300352096558,1.4583300352096558,10.0
178,179,"(154, 224, 7)","(1.7857099771499634, 1.7857099771499634, 10.0)",255.0,0.0,53.461193,154,224,7,1.7857099771499634,1.7857099771499634,10.0
179,180,"(154, 224, 7)","(1.7857099771499634, 1.7857099771499634, 10.0)",255.0,0.0,53.121655,154,224,7,1.7857099771499634,1.7857099771499634,10.0
180,181,"(180, 224, 8)","(1.5625, 1.5625, 10.0)",255.0,27.0,29.844288,180,224,8,1.5625,1.5625,10.0
181,182,"(180, 224, 8)","(1.5625, 1.5625, 10.0)",255.0,27.0,29.483997,180,224,8,1.5625,1.5625,10.0
182,183,"(174, 208, 15)","(1.6826900243759155, 1.6826900243759155, 5.0)",255.0,24.0,34.71523,174,208,15,1.6826900243759155,1.6826900243759155,5.0
183,184,"(174, 208, 15)","(1.6826900243759155, 1.6826900243759155, 5.0)",255.0,23.0,33.227634,174,208,15,1.6826900243759155,1.6826900243759155,5.0
184,185,"(180, 224, 10)","(1.5625, 1.5625, 7.0)",221.0,22.0,30.284006,180,224,10,1.5625,1.5625,7.0
185,186,"(180, 224, 10)","(1.5625, 1.5625, 7.0)",242.0,22.0,30.228031,180,224,10,1.5625,1.5625,7.0
186,187,"(208, 174, 10)","(1.6826900243759155, 1.6826900243759155, 5.0)",255.0,15.0,38.77048,208,174,10,1.6826900243759155,1.6826900243759155,5.0
187,188,"(208, 174, 10)","(1.6826900243759155, 1.6826900243759155, 5.0)",255.0,15.0,38.288296,208,174,10,1.6826900243759155,1.6826900243759155,5.0
188,189,"(180, 224, 14)","(1.5625, 1.5625, 5.0)",184.0,10.0,36.330776,180,224,14,1.5625,1.5625,5.0
